StartTime: 2021-12-24 17:37:29.399
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)
0x50	 17:37:33.000	15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8256	-0.0110	0.00
0x50	 17:37:33.099	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	69.3512	0.0055	0.00
0x50	 17:37:33.100	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.8240	-0.0055	0.00
0x50	 17:37:33.100	-16.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8201	-0.0110	0.00
0x50	 17:37:33.205	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	86.0889	0.0055	0.00
0x50	 17:37:33.205	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.7910	-0.0055	0.00
0x50	 17:37:33.205	-15.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8475	-0.0110	0.00
0x50	 17:37:33.298	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	82.5238	0.0055	0.00
0x50	 17:37:33.300	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.7526	-0.0055	0.00
0x50	 17:37:33.300	-14.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8475	-0.0110	0.00
0x50	 17:37:33.399	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	92.9388	0.0055	0.00
0x50	 17:37:33.400	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.7196	-0.0055	0.00
0x50	 17:37:33.400	-13.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8585	-0.0110	0.00
0x50	 17:37:33.497	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	92.2632	0.0055	0.00
0x50	 17:37:33.499	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.6812	-0.0055	0.00
0x50	 17:37:33.499	-12.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8585	-0.0110	0.00
0x50	 17:37:33.598	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	85.6769	0.0055	0.00
0x50	 17:37:33.600	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.6482	-0.0055	0.00
0x50	 17:37:33.600	-11.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8530	-0.0110	0.00
0x50	 17:37:33.697	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	84.9133	0.0055	0.00
0x50	 17:37:33.698	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.6207	-0.0055	0.00
0x50	 17:37:33.698	-10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8585	-0.0110	0.00
0x50	 17:37:33.797	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0055	94.6637	0.0055	0.00
0x50	 17:37:33.798	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0110	-0.5878	-0.0055	0.00
0x50	 17:37:33.798	-9.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0165	-61.8695	-0.0110	0.00
